,日期,省确诊,预测值,误差率,差值
33,2020-01-24,549.0,549.0,0.00%,0.0
32,2020-01-25,730.0,730.0,0.00%,0.0
31,2020-01-26,1058.0,1058.0,0.00%,0.0
30,2020-01-27,1423.0,1423.0,0.00%,0.0
29,2020-01-28,2714.0,2714.0,0.00%,0.0
28,2020-01-29,3554.0,3554.0,0.00%,0.0
27,2020-01-30,4903.0,4903.0,0.00%,0.0
26,2020-01-31,5806.0,5806.0,0.00%,0.0
25,2020-02-01,7153.0,7153.0,0.00%,0.0
24,2020-02-02,9074.0,9074.0,0.00%,0.0
23,2020-02-03,11177.0,11177.0,0.00%,0.0
22,2020-02-04,13522.0,13522.0,0.00%,0.0
21,2020-02-05,16678.0,16678.0,0.00%,0.0
20,2020-02-06,19665.0,19665.0,0.00%,0.0
19,2020-02-07,22112.0,22112.0,0.00%,0.0
18,2020-02-08,24953.0,24953.0,0.00%,0.0
17,2020-02-09,27100.0,27100.0,0.00%,0.0
16,2020-02-10,29631.0,29631.0,0.00%,0.0
15,2020-02-11,31728.0,31728.0,0.00%,0.0
14,2020-02-12,33366.0,33366.0,0.00%,0.0
13,2020-02-13,48206.0,48206.0,0.00%,0.0
12,2020-02-14,51986.0,51986.0,0.00%,0.0
11,2020-02-15,54406.0,54406.0,0.00%,0.0
10,2020-02-16,56249.0,56656.0,0.72%,407.0
9,2020-02-17,58182.0,58738.0,0.96%,556.0
8,2020-02-18,59989.0,60656.0,1.11%,667.0
7,2020-02-19,61682.0,62417.0,1.19%,735.0
6,2020-02-20,62031.0,64028.0,3.22%,1997.0
5,2020-02-21,62662.0,65497.0,4.52%,2835.0
4,2020-02-22,63454.0,66833.0,5.33%,3379.0
3,2020-02-23,64084.0,68045.0,6.18%,3961.0
2,2020-02-24,64287.0,69143.0,7.55%,4856.0
1,2020-02-25,64786.0,70135.0,8.26%,5349.0
0,2020-02-26,65187.0,71030.0,8.96%,5843.0
