,日期,省确诊,预测值,误差率,差值
33,2020-01-24,317.0,317.0,0.00%,0.0
32,2020-01-25,594.0,594.0,0.00%,0.0
31,2020-01-26,961.0,961.0,0.00%,0.0
30,2020-01-27,1415.0,1415.0,0.00%,0.0
29,2020-01-28,1887.0,1887.0,0.00%,0.0
28,2020-01-29,2513.0,2513.0,0.00%,0.0
27,2020-01-30,3219.0,3219.0,0.00%,0.0
26,2020-01-31,3976.0,3976.0,0.00%,0.0
25,2020-02-01,4688.0,4688.0,0.00%,0.0
24,2020-02-02,5384.0,5384.0,0.00%,0.0
23,2020-02-03,6130.0,6130.0,0.00%,0.0
22,2020-02-04,6970.0,6970.0,0.00%,0.0
21,2020-02-05,7680.0,7680.0,0.00%,0.0
20,2020-02-06,8422.0,8422.0,0.00%,0.0
19,2020-02-07,9082.0,9082.0,0.00%,0.0
18,2020-02-08,9649.0,9649.0,0.00%,0.0
17,2020-02-09,10113.0,10113.0,0.00%,0.0
16,2020-02-10,10546.0,10546.0,0.00%,0.0
15,2020-02-11,10883.0,10883.0,0.00%,0.0
14,2020-02-12,11322.0,11322.0,0.00%,0.0
13,2020-02-13,11620.0,11620.0,0.00%,0.0
12,2020-02-14,11771.0,11771.0,0.00%,0.0
11,2020-02-15,12090.0,12090.0,0.00%,0.0
10,2020-02-16,12170.0,12352.0,1.50%,182.0
9,2020-02-17,12354.0,12566.0,1.72%,212.0
8,2020-02-18,12449.0,12740.0,2.34%,291.0
7,2020-02-19,12505.0,12881.0,3.01%,376.0
6,2020-02-20,12529.0,12995.0,3.72%,466.0
5,2020-02-21,12804.0,13087.0,2.21%,283.0
4,2020-02-22,12656.0,13161.0,3.99%,505.0
3,2020-02-23,12852.0,13220.0,2.86%,368.0
2,2020-02-24,12698.0,13267.0,4.48%,569.0
1,2020-02-25,12613.0,13304.0,5.48%,691.0
0,2020-02-26,12452.0,13333.0,7.08%,881.0
