,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-18,湖北省,59989,7888,1789,武汉,42752,4221,1381
0,2020-02-18,湖北省,59989,7888,1789,孝感,3320,523,75
0,2020-02-18,湖北省,59989,7888,1789,黄冈,2828,941,84
0,2020-02-18,湖北省,59989,7888,1789,荆州,1537,339,38
0,2020-02-18,湖北省,59989,7888,1789,随州,1278,198,25
0,2020-02-18,湖北省,59989,7888,1789,鄂州,1339,265,36
0,2020-02-18,湖北省,59989,7888,1789,襄阳,1163,182,21
0,2020-02-18,湖北省,59989,7888,1789,黄石,985,238,20
0,2020-02-18,湖北省,59989,7888,1789,荆门,900,143,33
0,2020-02-18,湖北省,59989,7888,1789,宜昌,904,186,24
0,2020-02-18,湖北省,59989,7888,1789,咸宁,868,205,10
0,2020-02-18,湖北省,59989,7888,1789,十堰,626,144,2
0,2020-02-18,湖北省,59989,7888,1789,天门,500,55,11
0,2020-02-18,湖北省,59989,7888,1789,仙桃,544,121,19
0,2020-02-18,湖北省,59989,7888,1789,恩施州,250,90,4
0,2020-02-18,湖北省,59989,7888,1789,潜江,185,27,6
0,2020-02-18,湖北省,59989,7888,1789,神农架林区,10,10,0
0,2020-02-18,广东省,1328,538,4,深圳,416,152,2
0,2020-02-18,广东省,1328,538,4,广州,339,142,0
0,2020-02-18,广东省,1328,538,4,东莞,91,19,1
0,2020-02-18,广东省,1328,538,4,佛山,84,23,0
0,2020-02-18,广东省,1328,538,4,珠海,98,43,0
0,2020-02-18,广东省,1328,538,4,中山,66,40,0
0,2020-02-18,广东省,1328,538,4,惠州,59,34,0
0,2020-02-18,广东省,1328,538,4,江门,23,6,0
0,2020-02-18,广东省,1328,538,4,湛江,22,11,0
0,2020-02-18,广东省,1328,538,4,茂名,14,3,0
0,2020-02-18,广东省,1328,538,4,汕头,25,15,0
0,2020-02-18,广东省,1328,538,4,肇庆,18,8,1
0,2020-02-18,广东省,1328,538,4,梅州,16,8,0
0,2020-02-18,广东省,1328,538,4,韶关,10,5,0
0,2020-02-18,广东省,1328,538,4,阳江,13,9,0
0,2020-02-18,广东省,1328,538,4,揭阳,8,4,0
0,2020-02-18,广东省,1328,538,4,清远,12,9,0
0,2020-02-18,广东省,1328,538,4,汕尾,5,2,0
0,2020-02-18,广东省,1328,538,4,河源,4,1,0
0,2020-02-18,广东省,1328,538,4,潮州,5,4,0
0,2020-02-18,广东省,1328,538,4,待明确地区,0,11,0
0,2020-02-18,黑龙江省,464,89,11,哈尔滨,190,32,3
0,2020-02-18,黑龙江省,464,89,11,双鸭山,52,4,2
0,2020-02-18,黑龙江省,464,89,11,鸡西,46,2,0
0,2020-02-18,黑龙江省,464,89,11,齐齐哈尔,43,10,1
0,2020-02-18,黑龙江省,464,89,11,绥化,46,16,4
0,2020-02-18,黑龙江省,464,89,11,大庆,20,4,1
0,2020-02-18,黑龙江省,464,89,11,黑河,14,0,0
0,2020-02-18,黑龙江省,464,89,11,牡丹江,13,1,0
0,2020-02-18,黑龙江省,464,89,11,七台河,17,6,0
0,2020-02-18,黑龙江省,464,89,11,佳木斯,15,11,0
0,2020-02-18,黑龙江省,464,89,11,鹤岗,5,2,0
0,2020-02-18,黑龙江省,464,89,11,大兴安岭,2,1,0
0,2020-02-18,黑龙江省,464,89,11,伊春,1,0,0
0,2020-02-18,江苏省,629,273,0,南京,92,32,0
0,2020-02-18,江苏省,629,273,0,苏州,87,31,0
0,2020-02-18,江苏省,629,273,0,淮安,66,28,0
0,2020-02-18,江苏省,629,273,0,徐州,79,42,0
0,2020-02-18,江苏省,629,273,0,无锡,55,21,0
0,2020-02-18,江苏省,629,273,0,连云港,48,14,0
0,2020-02-18,江苏省,629,273,0,常州,50,27,0
0,2020-02-18,江苏省,629,273,0,南通,40,19,0
0,2020-02-18,江苏省,629,273,0,泰州,37,22,0
0,2020-02-18,江苏省,629,273,0,扬州,23,9,0
0,2020-02-18,江苏省,629,273,0,盐城,27,16,0
0,2020-02-18,江苏省,629,273,0,镇江,12,5,0
0,2020-02-18,江苏省,629,273,0,宿迁,13,7,0
0,2020-02-18,四川省,508,165,3,成都,140,56,1
0,2020-02-18,四川省,508,165,3,甘孜州,62,6,0
0,2020-02-18,四川省,508,165,3,达州,39,8,0
0,2020-02-18,四川省,508,165,3,南充,38,12,0
0,2020-02-18,四川省,508,165,3,巴中,24,3,0
0,2020-02-18,四川省,508,165,3,广安,30,14,0
0,2020-02-18,四川省,508,165,3,内江,22,6,0
0,2020-02-18,四川省,508,165,3,泸州,19,3,0
0,2020-02-18,四川省,508,165,3,德阳,17,1,0
0,2020-02-18,四川省,508,165,3,绵阳,22,9,0
0,2020-02-18,四川省,508,165,3,遂宁,17,9,0
0,2020-02-18,四川省,508,165,3,凉山州,13,5,0
0,2020-02-18,四川省,508,165,3,宜宾,12,6,0
0,2020-02-18,四川省,508,165,3,眉山,8,2,0
0,2020-02-18,四川省,508,165,3,攀枝花,16,11,0
0,2020-02-18,四川省,508,165,3,自贡,9,4,0
0,2020-02-18,四川省,508,165,3,雅安,7,2,0
0,2020-02-18,四川省,508,165,3,广元,6,3,0
0,2020-02-18,四川省,508,165,3,乐山,3,2,0
0,2020-02-18,四川省,508,165,3,资阳,3,2,0
0,2020-02-18,四川省,508,165,3,阿坝州,1,1,0
0,2020-02-18,四川省,508,165,3,待明确地区,0,0,2
0,2020-02-18,陕西省,240,81,0,西安,117,37,0
0,2020-02-18,陕西省,240,81,0,汉中,25,4,0
0,2020-02-18,陕西省,240,81,0,安康,25,7,0
0,2020-02-18,陕西省,240,81,0,渭南,15,3,0
0,2020-02-18,陕西省,240,81,0,咸阳,17,6,0
0,2020-02-18,陕西省,240,81,0,商洛,7,2,0
0,2020-02-18,陕西省,240,81,0,宝鸡,13,9,0
0,2020-02-18,陕西省,240,81,0,铜川,8,4,0
0,2020-02-18,陕西省,240,81,0,延安,8,6,0
0,2020-02-18,陕西省,240,81,0,榆林,3,1,0
0,2020-02-18,陕西省,240,81,0,杨凌,1,0,0
0,2020-02-18,陕西省,240,81,0,韩城,1,1,0
0,2020-02-18,陕西省,240,81,0,待明确地区,0,1,0
0,2020-02-18,上海市,333,177,1,外地来沪人员,110,59,1
0,2020-02-18,上海市,333,177,1,浦东新区,60,33,0
0,2020-02-18,上海市,333,177,1,宝山区,21,7,0
0,2020-02-18,上海市,333,177,1,徐汇区,18,6,0
0,2020-02-18,上海市,333,177,1,松江区,14,5,0
