,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
0,2020-02-18,湖北省,59989,7888,1789,武汉,1600,714,72,42752,4221,1381
1,2020-02-18,湖北省,59989,7888,1789,孝感,41,74,5,3320,523,75
2,2020-02-18,湖北省,59989,7888,1789,黄冈,-3,102,6,2828,941,84
3,2020-02-18,湖北省,59989,7888,1789,荆州,36,34,1,1537,339,38
4,2020-02-18,湖北省,59989,7888,1789,随州,11,58,1,1278,198,25
5,2020-02-18,湖北省,59989,7888,1789,鄂州,65,21,1,1339,265,36
6,2020-02-18,湖北省,59989,7888,1789,襄阳,8,31,1,1163,182,21
7,2020-02-18,湖北省,59989,7888,1789,黄石,2,31,5,985,238,20
8,2020-02-18,湖北省,59989,7888,1789,荆门,-15,11,0,900,143,33
9,2020-02-18,湖北省,59989,7888,1789,宜昌,9,30,0,904,186,24
10,2020-02-18,湖北省,59989,7888,1789,咸宁,7,24,0,868,205,10
11,2020-02-18,湖北省,59989,7888,1789,十堰,14,18,0,626,144,2
12,2020-02-18,湖北省,59989,7888,1789,天门,15,16,1,500,55,11
13,2020-02-18,湖北省,59989,7888,1789,仙桃,13,14,0,544,121,19
14,2020-02-18,湖北省,59989,7888,1789,恩施州,1,8,0,250,90,4
15,2020-02-18,湖北省,59989,7888,1789,潜江,3,9,0,185,27,6
16,2020-02-18,湖北省,59989,7888,1789,神农架林区,0,0,0,10,10,0
17,2020-02-18,广东省,1328,538,4,深圳,1,0,0,416,152,2
18,2020-02-18,广东省,1328,538,4,广州,0,10,0,339,142,0
19,2020-02-18,广东省,1328,538,4,东莞,2,0,0,91,19,1
20,2020-02-18,广东省,1328,538,4,佛山,0,0,0,84,23,0
21,2020-02-18,广东省,1328,538,4,珠海,1,2,0,98,43,0
22,2020-02-18,广东省,1328,538,4,中山,0,1,0,66,40,0
23,2020-02-18,广东省,1328,538,4,惠州,1,0,0,59,34,0
24,2020-02-18,广东省,1328,538,4,江门,0,1,0,23,6,0
25,2020-02-18,广东省,1328,538,4,湛江,0,0,0,22,11,0
26,2020-02-18,广东省,1328,538,4,茂名,0,0,0,14,3,0
27,2020-02-18,广东省,1328,538,4,汕头,0,1,0,25,15,0
28,2020-02-18,广东省,1328,538,4,肇庆,1,0,0,18,8,1
29,2020-02-18,广东省,1328,538,4,梅州,0,0,0,16,8,0
30,2020-02-18,广东省,1328,538,4,韶关,0,1,0,10,5,0
31,2020-02-18,广东省,1328,538,4,阳江,0,0,0,13,9,0
32,2020-02-18,广东省,1328,538,4,揭阳,0,0,0,8,4,0
33,2020-02-18,广东省,1328,538,4,清远,0,0,0,12,9,0
34,2020-02-18,广东省,1328,538,4,汕尾,0,0,0,5,2,0
35,2020-02-18,广东省,1328,538,4,河源,0,0,0,4,1,0
36,2020-02-18,广东省,1328,538,4,潮州,0,3,0,5,4,0
37,2020-02-18,广东省,1328,538,4,待明确地区,0,6,0,0,11,0
38,2020-02-18,黑龙江省,464,89,11,哈尔滨,2,0,0,190,32,3
39,2020-02-18,黑龙江省,464,89,11,双鸭山,2,0,0,52,4,2
40,2020-02-18,黑龙江省,464,89,11,鸡西,0,0,0,46,2,0
41,2020-02-18,黑龙江省,464,89,11,齐齐哈尔,1,0,0,43,10,1
42,2020-02-18,黑龙江省,464,89,11,绥化,0,2,0,46,16,4
43,2020-02-18,黑龙江省,464,89,11,大庆,0,0,0,20,4,1
44,2020-02-18,黑龙江省,464,89,11,黑河,0,0,0,14,0,0
45,2020-02-18,黑龙江省,464,89,11,牡丹江,1,0,0,13,1,0
46,2020-02-18,黑龙江省,464,89,11,七台河,1,2,0,17,6,0
47,2020-02-18,黑龙江省,464,89,11,佳木斯,0,0,0,15,11,0
48,2020-02-18,黑龙江省,464,89,11,鹤岗,0,0,0,5,2,0
49,2020-02-18,黑龙江省,464,89,11,大兴安岭,0,0,0,2,1,0
50,2020-02-18,黑龙江省,464,89,11,伊春,0,0,0,1,0,0
51,2020-02-18,江苏省,629,273,0,南京,0,0,0,92,32,0
52,2020-02-18,江苏省,629,273,0,苏州,1,0,0,87,31,0
53,2020-02-18,江苏省,629,273,0,淮安,1,0,0,66,28,0
54,2020-02-18,江苏省,629,273,0,徐州,0,0,0,79,42,0
55,2020-02-18,江苏省,629,273,0,无锡,0,2,0,55,21,0
56,2020-02-18,江苏省,629,273,0,连云港,0,1,0,48,14,0
57,2020-02-18,江苏省,629,273,0,常州,1,7,0,50,27,0
