,新增死亡,新增治愈,新增确诊,日期,省,省死亡,省治愈,省确诊
0,93.0,1195.0,1807.0,2020-02-18,湖北省,1789.0,7888.0,59989.0
382,100.0,1027.0,1933.0,2020-02-17,湖北省,1696.0,6693.0,58182.0
807,139.0,845.0,1843.0,2020-02-16,湖北省,1596.0,5666.0,56249.0
1222,31.0,690.0,2420.0,2020-02-15,湖北省,1457.0,4821.0,54406.0
1648,116.0,672.0,3780.0,2020-02-14,湖北省,1426.0,4131.0,51986.0
2058,242.0,773.0,14840.0,2020-02-13,湖北省,1310.0,3459.0,48206.0
2485,94.0,376.0,1638.0,2020-02-12,湖北省,1068.0,2686.0,33366.0
2912,103.0,456.0,2097.0,2020-02-11,湖北省,974.0,2310.0,31728.0
3327,91.0,374.0,2531.0,2020-02-10,湖北省,871.0,1854.0,29631.0
3747,81.0,262.0,2147.0,2020-02-09,湖北省,780.0,1480.0,27100.0
4165,81.0,351.0,2841.0,2020-02-08,湖北省,699.0,1218.0,24953.0
4594,69.0,155.0,2447.0,2020-02-07,湖北省,618.0,867.0,22112.0
5015,70.0,175.0,2987.0,2020-02-06,湖北省,549.0,712.0,19665.0
5438,65.0,139.0,3156.0,2020-02-05,湖北省,479.0,537.0,16678.0
5841,64.0,98.0,2345.0,2020-02-04,湖北省,414.0,398.0,13522.0
6247,56.0,33.0,2103.0,2020-02-03,湖北省,350.0,300.0,11177.0
6652,45.0,99.0,1921.0,2020-02-02,湖北省,294.0,267.0,9074.0
7052,45.0,27.0,1347.0,2020-02-01,湖北省,249.0,168.0,7153.0
7447,42.0,51.0,903.0,2020-01-31,湖北省,204.0,141.0,5806.0
7857,37.0,3.0,1349.0,2020-01-30,湖北省,162.0,90.0,4903.0
8220,25.0,35.0,840.0,2020-01-29,湖北省,125.0,87.0,3554.0
8574,24.0,5.0,1291.0,2020-01-28,湖北省,100.0,52.0,2714.0
8920,24.0,5.0,365.0,2020-01-27,湖北省,76.0,47.0,1423.0
9238,13.0,10.0,328.0,2020-01-26,湖北省,52.0,42.0,1058.0
9498,15.0,1.0,181.0,2020-01-25,湖北省,39.0,32.0,730.0
9712,24.0,31.0,549.0,2020-01-24,湖北省,24.0,31.0,549.0
17,0.0,14.0,6.0,2020-02-18,广东省,4.0,538.0,1328.0
399,2.0,59.0,6.0,2020-02-17,广东省,4.0,524.0,1322.0
824,0.0,55.0,22.0,2020-02-16,广东省,2.0,465.0,1316.0
1239,0.0,48.0,33.0,2020-02-15,广东省,2.0,410.0,1294.0
1665,0.0,48.0,20.0,2020-02-14,广东省,2.0,362.0,1261.0
